n,merge_sort_key_comp,insertion_sort_key_comp,merge_sort_run_time,insertion_sort_run_time
925,1593,43579,0.000178,0.000583
930,1608,44323,0.000177,0.000588
935,1604,42384,0.000179,0.000585
940,1620,44417,0.000180,0.000585
945,1631,45395,0.000179,0.000604
950,1640,45538,0.000182,0.000615
955,1649,45121,0.000188,0.000614
960,1661,45928,0.000183,0.000624
965,1675,46072,0.000182,0.000631
970,1685,46169,0.000183,0.000621
975,1694,47554,0.000186,0.000635
980,1704,48994,0.000184,0.000643
985,1706,50713,0.000187,0.000660
990,1723,48525,0.000186,0.000662
995,1731,49931,0.000187,0.000659
1000,1746,50643,0.000188,0.000673
